index,WindDir,WaveDir,SwellDir,WindKnot,GustKnot,WavesHeight,SwellHeight,SwellPeriod,WindWaveHeight,WindWavePeriod,MaxWaveHeight,Temperature,Rain,Wind50,Wind100,Gust50,Gust100,Visibility,TidalHeight,CurrentSpeed,CurrentDir
2022-12-08 17:00:00,68,69,99,8.1,10.6,1.4,0.5,7.1,1.3,6.0,2.4,19°,-,9.8,10.7,12.9,14.0,24.5,0.2,0.8,242
2022-12-08 18:00:00,66,69,83,8.6,11.1,1.4,0.2,1.8,1.4,6.3,2.4,20°,-,10.4,11.3,13.5,14.6,24.3,0.1,0.4,256
2022-12-08 19:00:00,63,69,111,9.1,11.6,1.5,0.3,9.6,1.5,6.5,2.6,19°,-,11.0,12.0,14.1,15.3,24.2,0.1,0.2,350
2022-12-08 20:00:00,58,68,120,9.6,12.1,1.5,0.1,6.6,1.5,6.5,2.6,20°,-,11.6,12.7,14.7,16.0,24.1,0.2,0.5,36
2022-12-08 21:00:00,52,66,52,10.1,12.6,1.6,0.1,0.0,1.6,6.7,2.8,19°,-,12.3,13.3,15.3,16.6,22.6,0.3,0.7,48
2022-12-08 22:00:00,49,64,68,10.6,13.1,1.6,0.2,1.8,1.6,6.7,2.8,19°,-,12.9,14.0,15.9,17.3,21.2,0.4,0.6,59
2022-12-08 23:00:00,45,63,65,10.6,13.6,1.7,0.3,1.8,1.7,6.9,3.0,19°,-,12.9,14.0,16.5,17.9,19.7,0.4,0.5,69
2022-12-09 00:00:00,41,62,104,10.1,13.6,1.7,0.7,6.1,1.5,6.5,3.0,19°,-,12.3,13.3,16.5,17.9,21.3,0.4,0.2,98
2022-12-09 01:00:00,38,61,94,9.1,13.6,1.7,0.9,6.7,1.4,6.3,3.0,19°,-,11.0,12.0,16.5,17.9,22.9,0.3,0.4,228
2022-12-09 02:00:00,38,62,88,8.6,13.6,1.6,1.0,6.9,1.2,5.8,2.8,19°,-,10.4,11.3,16.5,17.9,24.5,0.2,0.8,232
2022-12-09 03:00:00,35,63,77,7.1,12.6,1.5,1.2,6.9,0.9,5.0,2.6,19°,-,8.6,9.4,15.3,16.6,24.1,-0.0,1.0,229
2022-12-09 04:00:00,18,64,70,5.1,11.6,1.4,1.3,6.5,0.5,3.7,2.4,18°,-,6.2,6.7,14.1,15.3,23.8,-0.4,1.0,226
2022-12-09 05:00:00,352,66,70,5.1,11.1,1.3,1.3,6.4,0.8,4.7,2.3,18°,-,6.2,6.7,13.5,14.6,23.5,-0.7,0.7,226
2022-12-09 06:00:00,339,66,71,5.6,10.1,1.2,1.2,6.5,0.9,5.0,2.1,18°,-,6.8,7.4,12.3,13.3,23.0,-1.0,0.3,231
2022-12-09 07:00:00,337,64,71,6.1,9.1,1.2,1.1,6.5,0.5,3.7,2.1,18°,-,7.4,8.0,11.0,12.0,22.4,-1.1,0.3,42
2022-12-09 08:00:00,337,63,72,6.1,8.6,1.1,1.1,6.6,1.0,5.3,1.9,17°,-,7.4,8.0,10.4,11.3,21.9,-0.9,0.8,45
2022-12-09 09:00:00,339,60,72,6.6,8.6,1.1,1.0,6.6,0.5,3.7,1.9,17°,-,8.0,8.7,10.4,11.3,22.7,-0.7,1.1,49
2022-12-09 10:00:00,342,58,72,6.6,9.1,1.1,1.0,6.6,0.5,3.7,1.9,18°,-,8.0,8.7,11.0,12.0,23.6,-0.4,1.2,52
2022-12-09 11:00:00,344,57,72,6.1,9.1,1.1,0.9,6.6,0.6,4.1,1.9,18°,-,7.4,8.0,11.0,12.0,24.4,-0.1,1.1,55
2022-12-09 12:00:00,349,58,71,5.6,9.1,1.0,0.9,6.6,0.4,3.4,1.8,19°,-,6.8,7.4,11.0,12.0,25.0,0.1,0.8,54
2022-12-09 13:00:00,359,60,71,5.1,8.6,1.0,0.9,6.7,0.4,3.4,1.8,20°,-,6.2,6.7,10.4,11.3,25.6,0.4,0.3,41
2022-12-09 14:00:00,11,63,70,4.1,8.6,1.0,0.9,6.6,0.4,3.4,1.8,21°,-,5.0,5.4,10.4,11.3,26.2,0.6,0.2,267
2022-12-09 15:00:00,36,66,70,3.1,7.6,1.0,0.9,6.6,0.4,3.4,1.8,21°,-,3.8,4.1,9.2,10.0,26.2,0.6,0.5,243
2022-12-09 16:00:00,75,68,69,2.6,6.6,1.0,0.9,6.6,0.4,3.4,1.8,21°,-,3.2,3.4,8.0,8.7,26.1,0.6,0.6,237
2022-12-09 17:00:00,85,69,68,4.6,5.6,1.0,0.9,6.9,0.4,3.4,1.8,21°,-,5.6,6.1,6.8,7.4,26.1,0.4,0.5,238
2022-12-09 18:00:00,73,70,70,5.6,6.6,1.0,0.9,7.3,0.4,3.4,1.8,20°,-,6.8,7.4,8.0,8.7,25.5,0.2,0.2,261
2022-12-09 19:00:00,54,69,75,6.6,8.1,1.1,0.9,7.5,0.6,4.1,1.9,20°,-,8.0,8.7,9.8,10.7,25.0,0.1,0.2,5
2022-12-09 20:00:00,47,67,79,7.1,9.1,1.2,0.9,7.5,0.8,4.7,2.1,20°,-,8.6,9.4,11.0,12.0,24.4,0.2,0.6,34
2022-12-09 21:00:00,43,66,104,7.6,9.6,1.3,0.8,12.3,1.0,5.3,2.3,20°,-,9.2,10.0,11.6,12.7,24.2,0.3,0.8,44
2022-12-09 22:00:00,41,65,106,8.1,10.1,1.4,0.8,12.2,1.1,5.6,2.4,19°,-,9.8,10.7,12.3,13.3,23.9,0.4,0.9,52
2022-12-09 23:00:00,33,63,78,8.1,11.1,1.5,1.1,7.2,1.0,5.3,2.6,19°,-,9.8,10.7,13.5,14.6,23.7,0.4,0.8,60
2022-12-10 00:00:00,15,63,71,6.1,10.6,1.5,1.3,6.9,0.7,4.4,2.6,19°,-,7.4,8.0,12.9,14.0,23.9,0.4,0.6,70
2022-12-10 01:00:00,360,63,68,5.6,10.6,1.4,1.4,6.8,0.9,5.0,2.4,19°,-,6.8,7.4,12.9,14.0,24.2,0.4,0.2,106
2022-12-10 02:00:00,360,64,68,5.1,10.1,1.4,1.3,6.9,0.5,3.7,2.4,18°,-,6.2,6.7,12.3,13.3,24.4,0.3,0.4,219
2022-12-10 03:00:00,6,64,68,5.1,9.6,1.4,1.3,7.0,0.5,3.7,2.4,18°,-,6.2,6.7,11.6,12.7,24.4,0.1,0.8,226
2022-12-10 04:00:00,356,64,68,5.1,8.6,1.4,1.3,7.0,0.5,3.7,2.4,18°,-,6.2,6.7,10.4,11.3,24.4,-0.2,0.9,222
2022-12-10 05:00:00,350,64,69,5.6,7.6,1.3,1.3,7.0,0.9,5.0,2.3,18°,-,6.8,7.4,9.2,10.0,24.4,-0.5,0.8,220
2022-12-10 06:00:00,353,63,69,5.6,8.1,1.3,1.2,7.1,0.5,3.7,2.3,18°,-,6.8,7.4,9.8,10.7,23.6,-0.9,0.5,218
2022-12-10 07:00:00,352,62,69,6.1,8.1,1.2,1.2,7.1,1.0,5.3,2.1,18°,-,7.4,8.0,9.8,10.7,22.8,-1.1,0.1,197
2022-12-10 08:00:00,351,61,69,6.1,8.6,1.2,1.1,7.2,0.5,3.7,2.1,18°,-,7.4,8.0,10.4,11.3,22.1,-1.1,0.4,51
2022-12-10 09:00:00,349,59,69,6.1,8.6,1.2,1.1,7.2,0.5,3.7,2.1,18°,-,7.4,8.0,10.4,11.3,22.8,-0.9,0.8,50
2022-12-10 10:00:00,352,58,68,6.1,8.6,1.2,1.1,7.2,0.5,3.7,2.1,18°,-,7.4,8.0,10.4,11.3,23.6,-0.6,1.0,53
2022-12-10 11:00:00,5,59,68,6.1,8.6,1.2,1.1,7.2,0.5,3.7,2.1,19°,-,7.4,8.0,10.4,11.3,24.4,-0.3,0.9,56
2022-12-10 12:00:00,13,60,68,5.6,8.6,1.2,1.1,7.2,0.5,3.7,2.1,19°,-,6.8,7.4,10.4,11.3,24.9,-0.1,0.8,61
2022-12-10 13:00:00,17,61,68,5.1,8.1,1.2,1.1,7.1,0.5,3.7,2.1,20°,-,6.2,6.7,9.8,10.7,25.3,0.2,0.4,67
2022-12-10 14:00:00,17,62,68,5.1,8.1,1.2,1.1,7.1,0.5,3.7,2.1,20°,-,6.2,6.7,9.8,10.7,25.8,0.4,0.1,217
2022-12-10 15:00:00,24,64,67,4.1,7.6,1.2,1.1,7.0,0.5,3.7,2.1,21°,-,5.0,5.4,9.2,10.0,25.9,0.6,0.6,231
2022-12-10 16:00:00,43,65,67,4.1,7.6,1.1,1.1,7.0,0.6,4.1,1.9,21°,-,5.0,5.4,9.2,10.0,26.0,0.6,0.9,228
2022-12-10 17:00:00,65,67,68,5.6,7.1,1.1,1.0,7.5,0.5,3.7,1.9,20°,-,6.8,7.4,8.6,9.4,26.1,0.5,0.9,223
2022-12-10 18:00:00,61,67,73,6.6,8.1,1.2,0.9,7.9,0.8,4.7,2.1,20°,-,8.0,8.7,9.8,10.7,24.4,0.3,0.7,223
2022-12-10 19:00:00,55,67,112,8.1,9.1,1.3,0.7,14.0,1.1,5.6,2.3,20°,-,9.8,10.7,11.0,12.0,22.8,0.2,0.4,226
2022-12-10 20:00:00,50,66,112,8.1,10.6,1.4,0.6,14.0,1.3,6.0,2.4,20°,-,9.8,10.7,12.9,14.0,21.1,0.2,0.1,208
2022-12-10 21:00:00,44,65,112,8.6,11.1,1.5,0.7,14.2,1.3,6.0,2.6,20°,-,10.4,11.3,13.5,14.6,18.3,0.2,0.3,64
2022-12-10 22:00:00,39,63,135,9.1,11.6,1.6,0.8,6.6,1.4,6.3,2.8,19°,-,11.0,12.0,14.1,15.3,15.5,0.3,0.5,67
2022-12-10 23:00:00,14,62,72,7.6,12.1,1.6,1.4,6.7,0.8,4.7,2.8,19°,-,9.2,10.0,14.7,16.0,12.7,0.4,0.5,79
2022-12-11 00:00:00,6,62,70,6.6,11.6,1.5,1.4,6.8,0.5,3.7,2.6,19°,-,8.0,8.7,14.1,15.3,16.6,0.4,0.4,103
2022-12-11 01:00:00,6,62,69,6.6,10.6,1.5,1.4,6.9,0.5,3.7,2.6,19°,-,8.0,8.7,12.9,14.0,20.5,0.4,0.3,151
2022-12-11 02:00:00,13,62,70,6.6,10.1,1.5,1.4,7.0,0.5,3.7,2.6,18°,-,8.0,8.7,12.3,13.3,24.3,0.3,0.6,203
2022-12-11 03:00:00,10,61,70,7.6,10.1,1.5,1.3,7.0,0.7,4.4,2.6,18°,-,9.2,10.0,12.3,13.3,24.3,0.2,1.0,219
2022-12-11 04:00:00,3,59,70,7.1,10.1,1.5,1.3,7.0,0.7,4.4,2.6,18°,-,8.6,9.4,12.3,13.3,24.3,-0.0,1.3,222
2022-12-11 05:00:00,4,58,69,7.6,10.1,1.5,1.3,7.1,0.7,4.4,2.6,18°,-,9.2,10.0,12.3,13.3,24.3,-0.3,1.3,220
2022-12-11 06:00:00,1,57,69,7.6,10.1,1.5,1.4,7.2,0.5,3.7,2.6,18°,-,9.2,10.0,12.3,13.3,22.9,-0.7,1.2,219
2022-12-11 07:00:00,4,57,69,7.1,10.1,1.6,1.4,7.3,0.8,4.7,2.8,17°,-,8.6,9.4,12.3,13.3,21.4,-1.0,0.9,221
2022-12-11 08:00:00,6,58,68,7.1,10.1,1.6,1.4,7.4,0.8,4.7,2.8,17°,-,8.6,9.4,12.3,13.3,20.0,-1.1,0.5,225
2022-12-11 09:00:00,9,59,68,6.6,11.1,1.7,1.5,7.5,0.8,4.7,3.0,17°,-,8.0,8.7,13.5,14.6,22.1,-1.0,0.1,241
2022-12-11 10:00:00,28,61,72,7.1,12.6,1.8,1.5,7.9,1.0,5.3,3.2,18°,-,8.6,9.4,15.3,16.6,24.1,-0.8,0.2,48
2022-12-11 11:00:00,44,61,113,10.6,13.6,2.0,0.1,1.0,2.0,7.5,3.5,18°,-,12.9,14.0,16.5,17.9,26.1,-0.5,0.2,54
2022-12-11 12:00:00,43,61,99,11.1,14.1,2.1,0.1,1.1,2.1,7.7,3.7,18°,-,13.5,14.6,17.1,18.6,26.1,-0.2,0.1,95
2022-12-11 13:00:00,45,61,48,10.6,14.6,2.1,0.1,0.1,2.1,7.7,3.7,19°,-,12.9,14.0,17.7,19.2,26.1,0.0,0.3,220
2022-12-11 14:00:00,57,62,58,10.6,15.1,2.1,0.1,0.0,2.1,7.7,3.7,18°,-,12.9,14.0,18.3,19.9,26.1,0.3,0.7,231
2022-12-11 15:00:00,61,63,62,11.6,15.1,2.1,0.1,0.0,2.1,7.7,3.7,19°,-,14.1,15.3,18.3,19.9,19.2,0.5,1.2,235
2022-12-11 16:00:00,64,64,64,11.6,15.6,2.2,0.1,0.0,2.2,7.9,3.9,19°,-,14.1,15.3,18.9,20.6,12.4,0.6,1.7,235
2022-12-11 17:00:00,63,65,63,12.1,15.6,2.2,0.1,0.0,2.2,7.9,3.9,19°,-,14.7,16.0,18.9,20.6,5.5,0.6,1.8,233
2022-12-11 18:00:00,59,65,59,13.1,16.6,2.4,0.1,0.0,2.4,8.2,4.2,19°,-,15.9,17.3,20.1,21.9,5.4,0.5,1.8,230
2022-12-11 19:00:00,57,64,57,13.6,17.6,2.5,0.1,0.0,2.5,8.4,4.4,19°,-,16.5,17.9,21.3,23.2,5.4,0.3,1.5,231
2022-12-11 20:00:00,58,64,57,14.1,18.6,2.6,0.1,0.0,2.6,8.5,4.6,19°,-,17.1,18.6,22.6,24.5,5.3,0.2,1.2,233
2022-12-11 21:00:00,52,64,51,13.1,18.6,2.6,0.1,0.0,2.6,8.5,4.6,18°,-,15.9,17.3,22.6,24.5,6.4,0.2,0.9,234
2022-12-11 22:00:00,48,63,48,12.6,18.6,2.6,0.1,0.0,2.6,8.5,4.6,18°,-,15.3,16.6,22.6,24.5,7.4,0.3,0.6,231
2022-12-11 23:00:00,50,63,51,13.1,18.6,2.6,0.1,0.0,2.6,8.5,4.6,18°,-,15.9,17.3,22.6,24.5,8.4,0.3,0.5,223
2022-12-12 00:00:00,45,63,44,12.1,18.1,2.5,0.1,0.0,2.5,8.4,4.4,17°,-,14.7,16.0,22.0,23.9,7.1,0.4,0.7,217
2022-12-12 01:00:00,42,62,124,12.1,17.6,2.4,0.2,2.6,2.4,8.2,4.2,17°,-,14.7,16.0,21.3,23.2,5.7,0.4,0.9,216
2022-12-12 02:00:00,38,61,158,12.1,17.6,2.3,0.2,3.9,2.3,8.0,4.0,17°,-,14.7,16.0,21.3,23.2,4.4,0.3,1.2,219
2022-12-12 05:00:00,27,59,127,10.6,15.6,2.0,1.3,5.5,1.5,6.5,3.5,17°,-,12.9,14.0,18.9,20.6,11.5,-0.1,2.1,227
2022-12-12 08:00:00,5,60,69,7.6,13.6,1.7,1.5,7.8,0.8,4.7,3.0,17°,-,9.2,10.0,16.5,17.9,18.9,-1.0,1.3,227
2022-12-12 11:00:00,357,57,69,7.6,11.1,1.5,1.3,7.6,0.7,4.4,2.6,17°,0.2,9.2,10.0,13.5,14.6,22.4,-0.6,0.2,216
2022-12-12 14:00:00,13,62,68,5.1,10.1,1.3,1.2,7.4,0.5,3.7,2.3,18°,-,6.2,6.7,12.3,13.3,25.1,0.1,0.5,221
2022-12-12 17:00:00,58,66,67,7.6,9.1,1.4,1.0,9.3,1.0,5.3,2.4,19°,-,9.2,10.0,11.0,12.0,26.1,0.6,1.5,234
2022-12-12 20:00:00,55,66,117,10.6,13.6,1.9,0.5,11.1,1.8,7.1,3.3,19°,-,12.9,14.0,16.5,17.9,23.9,0.2,1.0,233
2022-12-12 23:00:00,46,63,46,11.1,14.6,2.1,0.1,0.1,2.1,7.7,3.7,18°,-,13.5,14.6,17.7,19.2,24.3,0.3,0.1,264
2022-12-13 02:00:00,40,61,157,11.6,15.1,2.2,0.3,4.0,2.2,7.9,3.9,17°,-,14.1,15.3,18.3,19.9,25.4,0.3,0.4,210
2022-12-13 05:00:00,44,60,44,12.6,16.6,2.3,0.1,0.1,2.3,8.0,4.0,17°,-,15.3,16.6,20.1,21.9,25.7,0.0,1.4,230
